[2023-08-01 14:28:02.170] Log file generated
[2023-08-01 14:39:49.461] Log file generated
[2023-08-01 14:45:19.030] Log file generated
[2023-08-01 14:45:40.284] Log file generated
[2023-08-01 14:48:32.790] Log file generated
[2023-08-01 14:49:54.916] Log file generated
[2023-08-01 14:53:48.095] Log file generated
[2023-08-01 14:54:31.587] Log file generated
[2023-08-01 14:56:20.017] Log file generated
[2023-08-01 14:56:39.367] Log file generated
[2023-08-01 14:56:58.216] Log file generated
[2023-08-02 07:08:06.111] Log file generated
[2023-08-02 07:08:06.162] sended 0288 to server
[2023-08-02 07:08:06.163] sended 0288 to server
[2023-08-02 07:08:06.163] sended 0287 to server
[2023-08-02 07:08:06.214] sended 0287 to server
[2023-08-02 07:08:06.214] sended 0287 to server
[2023-08-02 07:08:06.265] sended 0288 to server
[2023-08-02 07:08:06.265] sended 0288 to server
[2023-08-02 07:08:06.316] sended 0288 to server
[2023-08-02 07:08:06.316] sended 0287 to server
[2023-08-02 07:08:06.367] sended 0288 to server
[2023-08-02 07:08:06.367] sended 0288 to server
[2023-08-02 07:08:06.368] sended 0288 to server
[2023-08-02 07:08:06.418] sended 0287 to server
[2023-08-02 07:08:06.419] sended 0287 to server
[2023-08-02 07:08:06.419] sended 0288 to server
[2023-08-02 07:08:06.420] sended 0287 to server
[2023-08-02 07:08:06.471] sended 0288 to server
[2023-08-02 07:08:06.471] sended 0288 to server
[2023-08-02 07:08:06.522] sended 0287 to server
[2023-08-02 07:08:06.522] sended 0287 to server
[2023-08-02 07:08:06.522] sended 0287 to server
[2023-08-02 07:08:06.573] sended 0287 to server
[2023-08-02 07:08:06.624] sended 0288 to server
[2023-08-02 07:08:06.674] sended 0288 to server
[2023-08-02 07:08:06.675] sended 0288 to server
[2023-08-02 07:08:06.725] sended 0288 to server
[2023-08-02 07:08:06.776] sended 0288 to server
[2023-08-02 07:08:06.828] sended 0287 to server
[2023-08-02 07:08:06.829] sended 0287 to server
[2023-08-02 07:08:06.829] sended 0288 to server
[2023-08-02 07:08:06.880] sended 0288 to server
[2023-08-02 07:08:06.931] sended 0288 to server
[2023-08-02 07:08:06.931] sended 0287 to server
[2023-08-02 07:08:06.931] sended 0287 to server
[2023-08-02 07:08:06.982] sended 0288 to server
[2023-08-02 07:08:06.983] sended 0287 to server
[2023-08-02 07:08:06.983] sended 0287 to server
[2023-08-02 07:08:06.984] sended 0288 to server
[2023-08-02 07:08:07.035] sended 0287 to server
[2023-08-02 07:08:07.136] sended 0288 to server
[2023-08-02 07:08:07.136] sended 0287 to server
[2023-08-02 07:08:07.137] sended 0288 to server
[2023-08-02 07:08:07.188] sended 0287 to server
[2023-08-02 07:08:07.188] sended 0287 to server
[2023-08-02 07:08:07.189] sended 0287 to server
[2023-08-02 07:08:07.240] sended 0287 to server
[2023-08-02 07:08:07.240] sended 0287 to server
[2023-08-02 07:08:07.291] sended 0288 to server
[2023-08-02 07:08:07.291] sended 0288 to server
[2023-08-02 07:08:07.292] sended 0288 to server
[2023-08-02 07:08:07.343] sended 0287 to server
[2023-08-02 07:08:07.343] sended 0287 to server
[2023-08-02 07:08:07.344] sended 0287 to server
[2023-08-02 07:08:07.344] sended 0287 to server
[2023-08-02 07:08:07.395] sended 0287 to server
[2023-08-02 07:08:07.395] sended 0287 to server
[2023-08-02 07:08:07.446] sended 0287 to server
[2023-08-02 07:08:07.447] sended 0287 to server
[2023-08-02 07:08:07.498] sended 0288 to server
[2023-08-02 07:08:07.499] sended 0287 to server
[2023-08-02 07:08:07.499] sended 0287 to server
[2023-08-02 07:08:07.550] sended 0287 to server
[2023-08-02 07:08:07.551] sended 0287 to server
[2023-08-02 07:08:07.551] sended 0287 to server
[2023-08-02 07:08:07.552] sended 0287 to server
[2023-08-02 07:08:07.603] sended 0287 to server
[2023-08-02 07:08:07.654] sended 0288 to server
[2023-08-02 07:08:07.654] sended 0288 to server
[2023-08-02 07:08:07.655] sended 0288 to server
[2023-08-02 07:08:07.655] sended 0288 to server
[2023-08-02 07:08:07.655] sended 0287 to server
[2023-08-02 07:08:07.706] sended 0288 to server
[2023-08-02 07:08:07.707] sended 0287 to server
[2023-08-02 07:08:07.758] sended 0287 to server
[2023-08-02 07:08:07.758] sended 0288 to server
[2023-08-02 07:08:07.759] sended 0288 to server
[2023-08-02 07:08:07.759] sended 0288 to server
[2023-08-02 07:08:07.810] sended 0288 to server
[2023-08-02 07:08:07.811] sended 0288 to server
[2023-08-02 07:08:07.862] sended 0288 to server
[2023-08-02 07:08:07.863] sended 0288 to server
[2023-08-02 07:08:07.914] sended 0288 to server
[2023-08-02 07:08:07.965] sended 0288 to server
[2023-08-02 07:08:08.016] sended 0287 to server
[2023-08-02 07:08:08.017] sended 0287 to server
[2023-08-02 07:08:08.017] sended 0287 to server
[2023-08-02 07:08:08.018] sended 0287 to server
[2023-08-02 07:08:08.018] sended 0288 to server
[2023-08-02 07:08:08.070] sended 0287 to server
[2023-08-02 07:08:08.071] sended 0287 to server
[2023-08-02 07:08:08.071] sended 0287 to server
[2023-08-02 07:08:08.072] sended 0288 to server
[2023-08-02 07:08:08.123] sended 0288 to server
[2023-08-02 07:08:08.174] sended 0288 to server
[2023-08-02 07:08:08.174] sended 0288 to server
[2023-08-02 07:08:08.175] sended 0287 to server
[2023-08-02 07:08:08.176] sended 0287 to server
[2023-08-02 07:08:08.227] sended 0287 to server
[2023-08-02 07:08:08.227] sended 0288 to server
[2023-08-02 07:08:08.228] sended 0287 to server
[2023-08-02 07:08:08.278] sended 0287 to server
[2023-08-02 07:08:08.279] sended 0288 to server
[2023-08-02 07:08:08.280] sended 0288 to server
[2023-08-02 07:08:08.331] sended 0287 to server
[2023-08-02 07:08:08.331] sended 0287 to server
[2023-08-02 07:08:08.332] sended 0287 to server
[2023-08-02 07:08:08.383] sended 0287 to server
[2023-08-02 07:08:08.383] sended 0288 to server
[2023-08-02 07:08:08.384] sended 0288 to server
[2023-08-02 07:08:08.385] sended 0288 to server
[2023-08-02 07:08:08.436] sended 0287 to server
[2023-08-02 07:08:08.436] sended 0288 to server
[2023-08-02 07:08:08.487] sended 0287 to server
[2023-08-02 07:08:08.488] sended 0288 to server
[2023-08-02 07:08:08.488] sended 0288 to server
[2023-08-02 07:08:08.489] sended 0287 to server
[2023-08-02 07:08:08.539] sended 0287 to server
[2023-08-02 07:08:08.540] sended 0287 to server
[2023-08-02 07:08:08.541] sended 0287 to server
[2023-08-02 07:08:08.542] sended 0287 to server
[2023-08-02 07:08:08.592] sended 0288 to server
[2023-08-02 07:08:08.643] sended 0287 to server
[2023-08-02 07:08:08.644] sended 0287 to server
[2023-08-02 07:08:08.644] sended 0287 to server
[2023-08-02 07:08:08.695] sended 0287 to server
[2023-08-02 07:08:08.696] sended 0288 to server
[2023-08-02 07:08:08.696] sended 0287 to server
[2023-08-02 07:08:08.747] sended 0287 to server
[2023-08-02 07:08:08.747] sended 0288 to server
[2023-08-02 07:08:08.748] sended 0287 to server
[2023-08-02 07:08:08.748] sended 0287 to server
[2023-08-02 07:08:08.799] sended 0287 to server
[2023-08-02 07:08:08.800] sended 0288 to server
[2023-08-02 07:08:08.800] sended 0288 to server
[2023-08-02 07:08:08.800] sended 0287 to server
[2023-08-02 07:08:08.851] sended 0287 to server
[2023-08-02 07:08:08.852] sended 0288 to server
[2023-08-02 07:08:08.903] sended 0287 to server
[2023-08-02 07:08:08.903] sended 0287 to server
[2023-08-02 07:08:08.904] sended 0287 to server
[2023-08-02 07:08:08.955] sended 0287 to server
[2023-08-02 07:08:08.955] sended 0287 to server
[2023-08-02 07:08:09.006] sended 0288 to server
[2023-08-02 07:08:09.006] sended 0287 to server
[2023-08-02 07:08:09.007] sended 0287 to server
[2023-08-02 07:08:09.058] sended 0287 to server
[2023-08-02 07:08:09.058] sended 0288 to server
[2023-08-02 07:08:09.109] sended 0288 to server
